端口,板块,功能点,详细功能描述,功能逻辑,备注
学生端,账户与认证,邮箱注册,学生通过 Email + 密码注册账户,校验邮箱合法性 → 发送激活邮件（SendGrid/SES）→ 24h 内点击链接激活 → 创建账户 → 写入默认绑定（推荐码/分销短链/分店）→ 永久绑定写入,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
学生端,账户与认证,邮箱激活,首次注册必须激活邮箱才能登录,未激活账户登录直接拦截 → 引导『重新发送激活邮件』(限频 60s/次)；激活成功后跳转登录页,P0
学生端,账户与认证,邮箱登录,Email + 密码登录,密码错误 5 次锁定 10 分钟 → 锁定期可走『忘记密码』；登录成功下发 JWT + Refresh Token,P0
学生端,账户与认证,忘记密码,Email 验证后重置密码,提交邮箱 → 发送一次性重置链接（15 分钟有效）→ 设置新密码 → 强制下线所有会话,P0
学生端,账户与认证,修改密码,登录态下修改密码,校验旧密码 → 设置新密码（强度校验）→ 通知 Email + Telegram 已修改 → 失败次数过多触发风控,P0
学生端,账户与认证,邮箱变更,学员更换登录邮箱,新邮箱发送验证码 → 旧邮箱收到变更通知 → 双向确认后生效；变更后绑定关系不变,P0
学生端,账户与认证,Telegram chat_id 绑定,登录后引导绑定 Telegram 用于推送,个人中心点击『绑定 Telegram』→ 系统生成一次性 token（10 分钟有效）→ 唤起 Telegram Bot 深链 → 用户在 Bot 中发送 /verify <token> → 后端校验并写入 chat_id → 4 语言反馈绑定结果,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,账户与认证,Telegram 推送身份解绑,学员可解绑 Telegram chat_id,解绑后 Email + 应用内推送继续工作；绑定关系（学员-分店-教师-分销员）保留不受影响,P1；Email + Telegram chat_id + Device ID(IDFA/AAID) 多因子绑定；绑定关系永久保留，仅总部审核可解绑
学生端,账户与认证,未成年人保护（COPPA）,K12 未成年学员强制家长 Verifiable Consent,注册时学员勾选『我未满 13/18 岁』→ 强制填写家长 Email → 家长收到 Verifiable Consent 邮件（含明确数据用途）→ 家长同意后开通账户 → 否则限制大额支付、直播私聊、AI 助手个性化推荐,P0；合规（COPPA）
学生端,账户与认证,家长-学员双向授权,学员申请绑定家长，家长 Email 确认后生效,学员发起 → 系统下发家长 Email 授权链接 + Telegram 通知（若家长已绑 TG）→ 家长同意 → 写入授权范围（学情/证书/消费）,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,账户与认证,账号注销,学员发起注销，冷静期 7 天,冷静期内可撤销；到期清理个人数据但保留必要交易凭证（按乌兹别克 ZRU-547 与税务留存要求）,P1；合规
学生端,账户与认证,语言偏好,首次进入按手机系统语言自动落地，可在设置切换 4 语言,首次启动读取 Accept-Language / 系统 Locale → 命中 ru/uz/en/zh 之一即用；其它一律 fallback ru；用户切换后写入用户偏好，全端生效,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,课程中心,课程分类浏览,按语言培训 / K12 学科辅导 / 职业技能三大类目浏览,首页加载分类树 → 进入子分类列表 → 默认按热度排序；类目名按 4 语言展示,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,课程中心,课程详情展示,展示大纲、教师简介、评价、UZS 价格、已报名人数,聚合课程主数据 + 评价聚合 + 报名计数；命中分销链接时展示专属价/优惠；价格统一 UZS 显示，含千分位（如 1 200 000 UZS）,P0
学生端,课程中心,试听片段播放,提供 5-15 分钟精选片段，免登录可看,点击试听 → 校验试听片段配置 → 调用 CloudFront/Bunny CDN 播放 → 试听满 5 分钟弹注册引导,P0
学生端,课程中心,关键词搜索,按课程名/教师/标签关键词搜索（支持 ru/uz/en/zh）,搜索接入多语分词 + 召回 + 重排 → 支持搜索历史与热词,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,课程中心,多维度筛选,按价格(UZS)/时间/语言/类型筛选,前端筛选条件组合 → 调用筛选接口 → 支持组合保留与一键清空,P0
学生端,课程中心,课程收藏,收藏感兴趣的课程,点击收藏 → 写入个人收藏夹 → 在『我的-收藏』查看,P1
学生端,课程中心,最近浏览,记录最近 30 条浏览记录,进入详情自动写入 → 支持一键清空,P2
学生端,课程中心,课程评价浏览,查看其他学员评价与晒图,默认按最新排序 → 支持仅看好评/差评 → 评价含图文/视频,P1
学生端,在线学习,录播视频播放,支持已购课程录播视频观看,断点续播：每 5s 上报进度；倍速：0.75/1/1.25/1.5/2 五档；画质自适应 360p/480p/720p/1080p；CDN 使用 CloudFront / Bunny CDN（CIS 地区表现优）,P0
学生端,在线学习,时间轴笔记,在视频任意时间点添加笔记,笔记与时间戳绑定 → 支持文本/截图 → 个人可见 → 可导出 PDF,P0
学生端,在线学习,直播-小班互动,小班课支持举手、答题、白板互动,进入直播间 → 加入 RTC → 举手排队由教师批准 → 白板支持多人协作,P0；依赖直播 SDK（Agora / 100ms / LiveKit；Agora 在 CIS 有节点）
学生端,在线学习,直播-大班讲授,大班课聊天、投票、问答,聊天敏感词过滤（4 语言词库）→ 投票题由教师下发 → 学员答题后实时回写统计,P0
学生端,在线学习,弱网适配,动态码率调整，最低 480p / 1Mbps,客户端检测带宽 → 自动降码率 → 不足 1Mbps 弹『切换音频模式』；针对乌国移动网络做兼容（4G 为主）,P0
学生端,在线学习,回放观看,直播结束后 24h 内生成回放,AWS MediaConvert 转码 → S3 存档 → CloudFront 分发 → 自动用 Whisper 生成 ru/uz/en/zh 多语字幕,P0；AI 字幕
学生端,在线学习,画质切换,手动切换清晰度,支持 自动/360p/480p/720p/1080p；切换时无缝衔接,P1
学生端,在线学习,章节资料下载,下载课件、PPT、习题包,校验购买状态 → 限制每日下载次数 → 带水印（学员 Email 哈希）,P1
学生端,在线学习,多语字幕开关,录播 / 回放可切换 ru/uz/en/zh 字幕,播放器读取课程字幕轨 → 用户选择语言 → 缺失语种回退 ru → 字幕文件 VTT 格式存 S3,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,学习管理,已购课程列表,卡片式列表，按状态分组：进行中 / 未开始 / 即将到期,查询订单 → 关联课程 → 计算状态：开课时间 vs 当前时间（Asia/Tashkent），到期 ≤30 天标即将到期,P0；全局时区 Asia/Tashkent (UTC+5)
学生端,学习管理,进度追踪,综合章节观看时长 + 作业完成率 + 出勤率计算,公式：进度 = 0.5*观看 + 0.3*作业 + 0.2*出勤；每天 01:00 Asia/Tashkent 重算,P0；全局时区 Asia/Tashkent (UTC+5)
学生端,学习管理,学习日历,日历视图查看本周/本月课表,聚合排课 + 已购课程 → 时间统一 Asia/Tashkent → 支持订阅到本地日历 .ics,P1；全局时区 Asia/Tashkent (UTC+5)
学生端,学习管理,学习报告,周/月度数据摘要，含知识点掌握度雷达图,每周日 22:00 (Tashkent) 生成 → Telegram 推送摘要 + 站内可查全文；报告正文按用户语言偏好渲染,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,学习管理,续费提醒,到期前 30 / 7 / 1 天多通道触达,定时任务扫描到期课 → 触发 30/7/1 天 3 次推送 → 通道：Telegram → Email → APNs/FCM 兜底,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,学习管理,收藏与笔记中心,集中查看个人笔记与收藏,支持按课程/章节筛选 → 一键导出 PDF,P1
学生端,学习管理,学习时长统计,查看个人累计学习时长与连续天数,每日 00:30 (Tashkent) 结算昨日时长 → 连续打卡发放学分/积分,P1
学生端,学习管理,学习目标设定,设置周/月学习目标,设定目标 → 未达成 Telegram 提醒 → 达成发放奖励积分,P2；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,学习管理,分享学习报告到 Telegram,学员可把本周报告生成图卡分享到 Telegram,服务端渲染 4 语言图卡（PNG）→ 调用 Telegram share URL → 默认带推荐码归因,P1；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,考试中心(学生端),考试场次列表,查看可参加的正式考试,拉取已购课程绑定的考场 → 按时间倒序展示（Asia/Tashkent）,P0；全局时区 Asia/Tashkent (UTC+5)
学生端,考试中心(学生端),考试须知与范围,查看考试须知、范围、规则,考前 30 分钟开放 → 阅读须知方可进入答题；4 语言版本,P0；界面与推送支持 ru / uz / en / zh-CN 四语言，默认 ru
学生端,考试中心(学生端),在线答题与倒计时,客观题/主观题在线作答，含倒计时,进入答题 → 后端下发题目（防作弊：分批/打乱）→ 客户端展示倒计时 → 切屏次数超阈值警告,P0
学生端,考试中心(学生端),切屏与异常提醒,切屏/失焦记录与提醒,Web 端监听 visibilitychange；超 3 次标记异常并 Telegram 通知教师,P0；Telegram Bot 推送为主，Email(SendGrid/SES) + APNs/FCM 兜底
学生端,考试中心(学生端),到时自动交卷,倒计时归零自动提交答卷,倒计时归零 → 强制锁定输入 → 提交并写入答题留痕,P0
学生端,考试中心(学生端),草稿暂存,答题过程中自动暂存,每 10 秒自动保存草稿 → 网络异常恢复后断点续答,P0
