端口,板块,功能点,详细功能描述,功能逻辑,备注
学生端,账户与认证,邮箱注册,学生通过 邮箱 + 密码注册账户,检查邮箱合法性 → 发送激活邮件（SendGrid 或云服务商邮箱接口） → 24h 内点击链接激活 → 创建账户 → 保存默认绑定（推荐码/分销短链/分店） → 永久绑定关系登记,
学生端,账户与认证,邮箱激活,首次注册必须激活邮箱才能登录,未激活账户登录直接阻止并提示 → 引导『重新发送激活邮件』(限制频率 60s/次)；激活成功后跳转登录页,
学生端,账户与认证,邮箱登录,邮箱 + 密码登录,密码错误 5 次锁定 10 分钟 → 锁定期可走『忘记密码』；登录成功后，系统向对方发放 登录令牌与续期令牌（保持登录态用）,
学生端,账户与认证,忘记密码,邮箱 验证后重置密码,提交邮箱 → 发送一次性重置链接（15 分钟有效） → 设置新密码 → 强制下线所有登录会话,
学生端,账户与认证,修改密码,登录态下修改密码,检查旧密码 → 设置新密码（强度检查） → 通知 邮箱 + Telegram 已修改 → 失败次数过多触发风险监控,
学生端,账户与认证,邮箱变更,学员更换登录邮箱,新邮箱发送验证码 → 旧邮箱收到变更通知 → 双向确认后生效；变更后绑定关系不变,
学生端,账户与认证,绑定 Telegram（用于识别会话）,登录后引导绑定 Telegram 用于推送,个人中心点击『绑定 Telegram』 → 系统生成一次性 临时口令（10 分钟有效） → 唤起 Telegram 机器人 深链 → 用户在 Bot 中发送 在机器人里发送验证指令 <临时口令> → 后端检查并保存 对话编号 → 4 语言反馈绑定结果,
学生端,账户与认证,Telegram 推送身份解绑,学员可解绑 Telegram 对话编号,解绑后 邮箱 + 应用内推送继续工作；绑定关系（学员-分店-教师-分销员）保留不受影响,
学生端,账户与认证,未成年人保护（美国儿童上网隐私相关规则）,中小学（小学至高中） 未成年学员强制家长 可核验 Consent,注册时学员勾选『我未满 13/18 岁』 → 强制填写家长 邮箱 → 家长收到 可核验 Consent 邮件（含明确数据用途） → 家长同意后开通账户 → 否则限制大额支付、直播私聊、AI 助手个性化推荐,
学生端,账户与认证,家长-学员双向授权,学员申请绑定家长，家长 邮箱 确认后生效,学员发起 → 系统发送到家长 邮箱 授权链接 + Telegram 通知（若家长已绑 Telegram） → 家长同意 → 保存授权范围（学情/证书/消费）,
学生端,账户与认证,账号注销,学员发起注销，冷静期 7 天,冷静期内可撤销；到期清理个人数据但保留必要交易凭证（按乌兹别克 乌兹别克个人信息/数据权利相关法律 与税务留存要求）,
学生端,账户与认证,语言偏好,首次进入按手机系统语言自动落地，可在设置切换 4 语言,首次启动读取 Accept-Language / 系统 Locale → 匹配到 俄/乌/英/中 之一即用；其它一律 fallback ru；用户切换后保存用户偏好，全端生效,
学生端,课程中心,课程分类浏览,按语言培训 / 中小学（小学至高中） 学科辅导 / 职业技能三大类目浏览,首页加载分类树 → 进入子分类列表 → 默认按热度排序；类目名按 4 语言展示,
学生端,课程中心,课程详情展示,展示大纲、教师简介、评价、乌兹别克苏姆 价格、已报名人数,汇总课程主数据 + 评价汇总 + 报名计数；匹配到分销链接时展示专属价/优惠；价格统一 乌兹别克苏姆 显示，含千分位（如 1 200 000 乌兹别克苏姆）,
学生端,课程中心,试听片段播放,提供 5-15 分钟精选片段，免登录可看,点击试听 → 检查试听片段配置 → 调用 亚马逊内容分发网络 CloudFront/Bunny 内容分发加速 播放 → 试听满 5 分钟弹注册引导,
学生端,课程中心,关键词搜索,按课程名/教师/标签关键词搜索（支持 俄/乌/英/中）,搜索接入多语分词 + 搜出相关条目 + 再排序 → 支持搜索历史与热词,
学生端,课程中心,多维度筛选,按价格(乌兹别克苏姆)/时间/语言/类型筛选,前端筛选条件组合 → 调用筛选接口 → 支持组合保留与一键清空,
学生端,课程中心,课程收藏,收藏感兴趣的课程,点击收藏 → 保存个人收藏夹 → 在『我的-收藏』查看,
学生端,课程中心,最近浏览,记录最近 30 条浏览记录,进入详情自动保存 → 支持一键清空,
学生端,课程中心,课程评价浏览,查看其他学员评价与晒图,默认按最新排序 → 支持仅看好评/差评 → 评价含图文/视频,
学生端,在线学习,录播视频播放,支持已购课程录播视频观看,断点续播：每 5s 上报进度；倍速：0.75～2 倍速 五档；画质自适应 多档清晰度（360p 至 1080p）；内容分发加速 使用 亚马逊内容分发网络 CloudFront / Bunny 内容分发加速（独联体地区 地区表现优）,
